Nome do modelo,H(m),Inclinação(graus),Coesao(kPa),Ângulo de atrito(graus),Peso específico (kN/m³),Fator de Segurança
modelo_n_0079.hjs,17.345,52.3275,204.45,33.225,29.91,3.974351082
modelo_n_0080.hjs,9.425,26.2575,260.25,47.825,19.77,13.3865739
modelo_n_0081.hjs,134.759,53.2075,160.05,3.925,26.57,0.460058312
modelo_n_0082.hjs,156.539,56.8925,99.15,8.825,10.21,0.676083413
modelo_n_0083.hjs,143.867,53.0425,49.65,24.775,11.73,0.733066022
modelo_n_0084.hjs,52.391,16.7425,241.35,5.275,26.65,1.741941902
modelo_n_0085.hjs,70.409,16.6875,176.25,12.975,10.49,2.918008858
modelo_n_0086.hjs,81.497,44.1325,55.65,12.275,23.27,0.54745347
modelo_n_0087.hjs,64.865,34.6725,71.25,1.875,11.39,0.745471291
modelo_n_0088.hjs,161.093,55.0775,215.25,20.925,10.91,1.400206613
modelo_n_0089.hjs,103.673,53.9225,12.75,2.975,11.09,0.141078454
modelo_n_0090.hjs,72.983,12.9475,23.85,35.275,20.03,3.523141159
modelo_n_0091.hjs,125.849,19.4925,265.05,44.425,11.25,5.167550265
modelo_n_0092.hjs,102.485,34.6175,223.65,29.425,20.43,1.971192806
modelo_n_0093.hjs,52.193,20.1525,292.65,34.075,13.99,5.712603352
modelo_n_0094.hjs,131.195,19.9875,3.75,19.575,29.53,1.026158466
modelo_n_0095.hjs,78.329,55.0225,159.45,17.425,28.81,0.876595114
modelo_n_0096.hjs,101.297,6.6775,148.35,28.875,13.85,6.620959289
modelo_n_0097.hjs,67.241,48.6425,100.65,1.175,21.81,0.622067841
modelo_n_0098.hjs,96.545,54.1425,142.95,48.375,16.27,1.910191828
modelo_n_0099.hjs,86.447,5.7975,0.15,41.375,24.57,8.696164279
modelo_n_0100.hjs,72.587,57.3325,40.65,41.625,24.55,0.974413347
modelo_n_0101.hjs,167.231,37.8075,235.35,38.875,29.47,1.74546784
modelo_n_0102.hjs,49.223,10.5275,194.25,0.025,15.77,2.436629552
modelo_n_0103.hjs,84.467,19.2725,206.25,14.375,27.21,1.72146999
modelo_n_0104.hjs,154.559,26.5875,184.65,24.675,22.15,1.639660209
modelo_n_0105.hjs,18.731,23.0125,154.35,17.825,13.37,5.510751068
modelo_n_0106.hjs,87.239,6.7325,100.95,16.875,10.01,4.443317132
modelo_n_0107.hjs,179.705,47.0475,118.35,31.775,10.53,1.310490103
modelo_n_0108.hjs,37.145,45.3425,141.15,30.875,20.41,2.235703036
modelo_n_0109.hjs,113.177,24.2775,103.35,6.925,25.49,0.655017324
modelo_n_0110.hjs,196.931,40.0075,97.65,6.975,24.01,0.365581471
modelo_n_0111.hjs,113.573,20.3175,298.35,2.575,13.45,1.554643634
modelo_n_0112.hjs,7.643,9.5375,178.65,43.925,18.77,19.926544
modelo_n_0113.hjs,68.231,57.5525,250.05,2.475,15.99,2.856519538
modelo_n_0114.hjs,48.431,55.4625,288.75,6.375,21.97,3.011825701
modelo_n_0115.hjs,51.401,33.6825,188.25,14.025,13.89,2.42893886
modelo_n_0116.hjs,118.523,48.1475,175.35,6.625,22.31,0.656605763
modelo_n_0117.hjs,186.833,17.3475,166.05,23.975,20.59,2.118060589
modelo_n_0118.hjs,158.519,47.6525,187.65,48.675,20.67,1.871953959
modelo_n_0119.hjs,159.113,10.9125,233.55,12.175,24.93,1.92329605
modelo_n_0120.hjs,140.501,20.9775,95.25,9.475,18.21,0.883282297
modelo_n_0121.hjs,69.617,56.5075,125.55,3.475,26.35,0.71978302
modelo_n_0122.hjs,90.407,21.0325,38.85,1.675,17.35,0.295871446
modelo_n_0123.hjs,86.843,25.2125,189.15,6.825,21.85,1.109258232
modelo_n_0124.hjs,197.723,45.0125,23.25,8.575,13.15,0.276304603
modelo_n_0125.hjs,111.197,10.8025,167.85,35.475,20.31,5.07841819
modelo_n_0126.hjs,39.719,35.7725,152.55,17.375,18.17,2.163064365
modelo_n_0127.hjs,129.413,36.5425,233.25,45.275,15.37,2.788794879
modelo_n_0128.hjs,62.093,8.8775,282.75,48.625,18.11,11.14357264
modelo_n_0129.hjs,135.551,58.8175,42.45,2.325,25.69,0.14111128
modelo_n_0130.hjs,6.653,5.3575,138.75,12.125,13.77,26.92472211
modelo_n_0131.hjs,30.611,53.8125,249.15,1.975,25.51,3.261292365
modelo_n_0132.hjs,20.513,36.3775,76.65,22.875,28.53,1.807646458
modelo_n_0133.hjs,11.405,58.4875,253.05,24.325,21.13,13.68033216
modelo_n_0134.hjs,126.443,9.9225,102.45,20.525,14.07,3.091777335
modelo_n_0135.hjs,193.169,30.8225,28.95,35.525,22.43,1.389250927
modelo_n_0136.hjs,175.943,18.3375,64.65,37.175,17.23,2.781501955
modelo_n_0137.hjs,16.157,30.6575,31.05,46.675,23.01,2.990403926
modelo_n_0138.hjs,117.335,17.6775,111.45,9.525,13.65,1.278682986
modelo_n_0139.hjs,173.567,39.3475,50.25,15.025,12.01,0.636793638
modelo_n_0140.hjs,127.829,52.9325,162.75,36.875,22.65,1.266158683
modelo_n_0141.hjs,143.273,10.1975,156.15,24.575,14.19,3.769545546
modelo_n_0142.hjs,17.939,7.8875,44.55,33.575,20.39,6.849728465
modelo_n_0143.hjs,52.787,47.1025,24.45,22.375,26.07,0.656615525
modelo_n_0144.hjs,116.939,14.6525,187.05,8.125,10.19,2.006675133
modelo_n_0145.hjs,19.919,18.6125,33.15,39.975,24.43,3.618404743
modelo_n_0146.hjs,84.863,9.3725,18.15,24.025,13.25,3.124771433
modelo_n_0147.hjs,7.247,46.9925,43.35,48.425,25.89,3.287987767
modelo_n_0148.hjs,22.493,15.8625,142.35,46.275,16.19,8.134321722
modelo_n_0149.hjs,168.221,30.4375,39.45,27.975,15.15,1.211174834
modelo_n_0150.hjs,156.341,39.0725,7.35,22.775,22.11,0.588688631
modelo_n_0151.hjs,149.609,17.5675,26.25,33.975,24.61,2.364421274
modelo_n_0152.hjs,196.337,46.2225,272.55,19.375,21.77,0.975709765
modelo_n_0153.hjs,125.453,12.0125,107.85,1.825,18.33,0.610386065
modelo_n_0154.hjs,95.951,34.0125,248.85,32.825,11.69,3.044712734
modelo_n_0155.hjs,79.319,51.3925,243.15,23.475,13.55,2.330104308
