Nome do modelo,H(m),Inclinação(graus),Coesao(kPa),Ângulo de atrito(graus),Peso específico (kN/m³),Fator de Segurança
modelo_n_0341.hjs,189.011,24.7175,216.45,27.375,29.51,1.730565727
modelo_n_0342.hjs,74.963,32.6925,187.95,4.425,12.67,1.55820715
modelo_n_0343.hjs,89.219,54.5275,91.05,44.725,28.85,1.267566793
modelo_n_0344.hjs,20.711,24.4425,98.25,10.475,10.35,3.82727381
modelo_n_0345.hjs,2.297,36.8175,217.95,26.575,15.93,43.8848313
modelo_n_0346.hjs,108.029,48.5875,167.25,8.925,10.63,1.353524872
modelo_n_0347.hjs,162.083,32.3075,130.65,35.225,17.99,1.793684435
modelo_n_0348.hjs,24.275,7.7775,157.95,1.425,22.07,3.779582871
modelo_n_0349.hjs,18.137,26.6425,56.55,28.975,27.57,2.405459247
modelo_n_0350.hjs,10.019,25.1575,7.65,41.775,16.55,2.710937771
modelo_n_0351.hjs,61.697,31.5375,117.75,36.775,29.11,2.125927448
modelo_n_0352.hjs,2.099,38.4675,272.25,5.125,20.25,47.87248191
modelo_n_0353.hjs,11.009,59.0925,73.35,44.325,10.45,8.006893407
modelo_n_0354.hjs,63.875,35.9925,178.95,31.375,21.31,2.197887122
modelo_n_0355.hjs,129.215,23.1775,69.15,19.025,16.69,1.282996787
modelo_n_0356.hjs,27.839,14.4875,174.45,44.875,24.71,7.123310754
modelo_n_0357.hjs,180.101,15.1475,37.05,12.425,19.53,1.031982455
modelo_n_0358.hjs,147.827,26.3675,87.45,26.275,27.45,1.389601381
modelo_n_0359.hjs,91.397,46.1125,267.75,27.275,14.49,2.197893175
modelo_n_0360.hjs,105.257,21.9125,289.95,39.725,27.03,3.492136576
modelo_n_0361.hjs,116.147,44.1875,129.45,43.275,25.83,1.633539512
modelo_n_0362.hjs,35.561,36.1575,200.85,19.625,23.25,2.474875036
modelo_n_0363.hjs,43.481,24.2225,164.25,18.725,15.75,2.891833987
modelo_n_0364.hjs,181.487,50.2375,179.85,13.475,20.73,0.654144641
modelo_n_0365.hjs,13.385,59.3675,253.95,6.325,24.45,10.54331161
modelo_n_0366.hjs,194.555,25.3775,30.15,18.375,16.73,0.894563847
modelo_n_0367.hjs,71.201,53.7025,6.45,14.975,29.01,0.270714506
modelo_n_0368.hjs,22.691,54.4175,244.05,43.225,27.37,4.382662583
modelo_n_0369.hjs,85.655,26.1475,1.35,46.075,16.35,2.189273355
modelo_n_0370.hjs,84.269,11.0775,83.55,16.175,21.35,2.216433684
modelo_n_0371.hjs,50.609,10.6925,63.75,9.875,29.25,1.529904
modelo_n_0372.hjs,87.833,28.3475,112.95,26.925,10.81,2.235673197
modelo_n_0373.hjs,199.109,22.1875,278.55,37.725,23.17,2.863212669
modelo_n_0374.hjs,165.251,30.6025,224.55,23.625,28.97,1.358991165
modelo_n_0375.hjs,28.433,11.7375,56.85,13.675,28.35,2.101104131
modelo_n_0376.hjs,71.795,47.7075,105.45,24.825,25.13,1.059248814
modelo_n_0377.hjs,65.459,7.2275,229.05,20.375,19.15,5.67126554
modelo_n_0378.hjs,171.587,38.1925,199.65,47.725,29.29,2.082168126
modelo_n_0379.hjs,165.449,56.6725,83.85,32.225,27.39,0.727381111
modelo_n_0380.hjs,115.157,11.2425,73.05,0.775,29.87,0.2832531
modelo_n_0381.hjs,24.077,59.2025,145.95,0.125,25.91,3.154768944
modelo_n_0382.hjs,119.315,16.8525,240.75,46.125,12.47,5.721750416
modelo_n_0383.hjs,26.453,47.7625,103.05,32.625,18.87,2.378454804
modelo_n_0384.hjs,141.095,29.8325,145.65,24.275,10.25,1.878502666
modelo_n_0385.hjs,53.777,31.0975,227.85,43.975,13.17,4.735250339
modelo_n_0386.hjs,192.773,56.8375,148.05,17.175,14.89,0.706653769
modelo_n_0387.hjs,152.579,52.6575,18.45,30.225,29.19,0.563571204
modelo_n_0388.hjs,109.811,5.1925,267.15,35.025,26.37,9.778855611
modelo_n_0389.hjs,132.779,15.5325,180.45,45.875,29.61,4.671507495
modelo_n_0390.hjs,29.621,21.3075,235.65,19.925,12.59,5.909822753
modelo_n_0391.hjs,95.159,31.5925,132.75,30.325,20.35,1.82491655
modelo_n_0392.hjs,38.531,38.2475,270.15,15.125,19.93,2.989464058
modelo_n_0393.hjs,60.311,23.7275,227.25,45.125,13.81,5.305884172
modelo_n_0394.hjs,188.813,6.3475,201.15,33.175,11.35,7.725270116
modelo_n_0395.hjs,93.179,54.8025,139.95,19.175,20.49,0.928682696
modelo_n_0396.hjs,31.997,48.3675,0.75,14.275,25.31,0.259631788
modelo_n_0397.hjs,14.969,6.0725,55.05,33.075,15.61,10.24335232
modelo_n_0398.hjs,9.821,25.7075,131.55,1.125,28.99,3.173643313
modelo_n_0399.hjs,180.695,35.3325,128.85,13.075,12.55,0.899731395
modelo_n_0400.hjs,190.991,10.6375,10.35,38.625,11.97,4.46297065
modelo_n_0401.hjs,38.729,11.0225,286.65,18.275,15.67,6.574537579
modelo_n_0402.hjs,157.331,14.9275,201.75,14.425,13.61,2.060743261
modelo_n_0403.hjs,178.319,13.7175,97.35,3.825,13.63,0.697361769
modelo_n_0404.hjs,45.065,56.2875,185.85,24.425,26.71,1.735715999
modelo_n_0405.hjs,30.215,6.4575,91.95,43.775,20.55,11.31020475
modelo_n_0406.hjs,128.027,54.3075,116.85,7.775,15.31,0.645312764
modelo_n_0407.hjs,75.755,10.0875,27.75,39.525,22.13,5.151819326
modelo_n_0408.hjs,186.041,33.7925,251.85,16.125,18.47,1.173913289
modelo_n_0409.hjs,152.381,54.9675,294.75,19.775,10.15,2.129290034
modelo_n_0410.hjs,62.291,36.4325,67.35,48.725,17.39,2.495354794
modelo_n_0411.hjs,35.165,50.3475,71.85,4.775,15.97,1.224335367
modelo_n_0412.hjs,32.393,59.2575,94.65,19.725,18.61,1.932894135
modelo_n_0413.hjs,190.595,57.6625,78.75,7.725,17.45,0.316793481
modelo_n_0414.hjs,15.563,13.9925,113.55,46.175,18.31,8.841043986
modelo_n_0415.hjs,61.895,52.7675,149.25,3.675,15.33,1.65362676
modelo_n_0416.hjs,89.021,22.4625,130.95,39.475,26.29,2.927598047
modelo_n_0417.hjs,41.303,11.2975,295.05,8.625,22.61,3.888997258
modelo_n_0418.hjs,195.347,24.1675,265.35,1.475,28.71,0.422204105
modelo_n_0419.hjs,153.767,41.0525,106.35,26.775,13.93,1.190546302
modelo_n_0420.hjs,76.745,53.3725,114.75,1.575,17.13,0.948019232
modelo_n_0421.hjs,127.631,7.0625,77.85,25.425,18.27,4.613158297
modelo_n_0422.hjs,41.501,11.9575,212.55,46.525,12.57,9.937383382
modelo_n_0423.hjs,2.693,32.8025,25.95,34.425,17.53,5.555509813
modelo_n_0424.hjs,196.733,57.7725,169.95,4.825,14.47,0.664175591
modelo_n_0425.hjs,91.991,49.4675,91.35,21.325,23.19,0.816115275
modelo_n_0426.hjs,54.569,52.2725,238.35,26.525,24.85,1.950384469
modelo_n_0427.hjs,195.149,51.5025,42.75,22.025,20.23,0.51505046
modelo_n_0428.hjs,198.119,15.9175,259.05,49.525,19.21,5.421012712
modelo_n_0429.hjs,174.557,7.8325,49.05,43.325,13.97,7.518024141
modelo_n_0430.hjs,61.499,47.3775,5.55,35.725,22.89,0.785699029
modelo_n_0431.hjs,92.783,46.7725,279.75,17.975,17.85,1.699082788
modelo_n_0432.hjs,74.171,39.8975,133.35,46.475,18.13,2.507853457
modelo_n_0433.hjs,12.197,26.2025,34.05,46.325,17.57,4.125606862
modelo_n_0434.hjs,8.237,41.3275,100.05,44.275,15.85,7.079301068
modelo_n_0435.hjs,70.607,46.3875,216.15,47.325,21.09,2.606891446
modelo_n_0436.hjs,70.211,12.4525,268.35,36.975,18.07,6.177238471
modelo_n_0437.hjs,186.239,26.9725,88.95,25.625,16.57,1.411356257
modelo_n_0438.hjs,95.555,30.2175,271.95,42.025,24.49,3.009301319
modelo_n_0439.hjs,156.935,55.2425,62.25,35.075,19.45,0.835535896
modelo_n_0440.hjs,151.787,53.7575,191.85,29.575,26.63,0.982980012
modelo_n_0441.hjs,40.511,53.4275,155.55,10.075,14.75,2.815455314
modelo_n_0442.hjs,50.807,6.9525,232.65,32.725,16.17,9.685600753
modelo_n_0443.hjs,143.669,13.1675,255.75,19.525,25.97,2.494132166
modelo_n_0444.hjs,26.255,53.5925,18.75,3.025,13.87,0.521865625
modelo_n_0445.hjs,44.669,25.5975,159.15,44.625,26.09,3.828827854
modelo_n_0446.hjs,138.719,35.1675,232.05,9.675,16.15,1.108112257
modelo_n_0447.hjs,167.033,29.8875,127.95,5.325,26.01,0.455703625
modelo_n_0448.hjs,165.647,31.4275,68.85,49.675,13.67,2.549303653
modelo_n_0449.hjs,73.577,41.9875,209.85,21.725,13.09,2.226591203
modelo_n_0450.hjs,147.035,7.6675,156.45,16.925,21.55,3.130271158
modelo_n_0451.hjs,46.649,49.8525,59.25,45.575,15.59,1.870503207
modelo_n_0452.hjs,76.151,23.0675,54.75,35.675,11.49,2.638863444
modelo_n_0453.hjs,170.399,47.5425,143.55,47.875,21.71,1.653410427
modelo_n_0454.hjs,111.791,8.9875,112.65,14.725,24.69,2.354070786
modelo_n_0455.hjs,168.815,31.6475,249.75,42.775,27.61,2.339222812
modelo_n_0456.hjs,106.247,11.6825,268.05,30.775,25.27,4.415073364
modelo_n_0457.hjs,142.283,21.8575,293.55,27.025,20.51,2.511122422
modelo_n_0458.hjs,78.923,42.0425,160.65,29.875,19.09,1.7272084
modelo_n_0459.hjs,55.757,19.6575,111.75,33.675,27.85,2.949741265
modelo_n_0460.hjs,163.667,45.6725,73.95,35.125,20.13,1.073046942
modelo_n_0461.hjs,130.403,32.5825,270.75,25.375,17.87,1.940587884
modelo_n_0462.hjs,91.793,54.6925,289.65,45.175,11.63,3.215819374
modelo_n_0463.hjs,153.965,39.9525,292.05,11.175,14.21,1.3074572
modelo_n_0464.hjs,186.635,19.1075,115.95,39.225,29.45,2.849201314
modelo_n_0465.hjs,42.293,57.0025,69.45,12.925,17.95,1.027502834
modelo_n_0466.hjs,145.649,50.8975,183.15,6.225,18.97,0.667131036
modelo_n_0467.hjs,135.947,22.7375,160.35,12.525,17.73,1.256987573
modelo_n_0468.hjs,98.327,49.3575,168.75,29.075,25.45,1.215359519
modelo_n_0469.hjs,120.305,58.5975,86.55,21.375,24.15,0.600366713
modelo_n_0470.hjs,47.045,51.9425,150.15,13.125,23.61,1.363327361
modelo_n_0471.hjs,175.547,35.5525,86.25,47.975,17.47,2.112300848
modelo_n_0472.hjs,139.709,46.6075,13.05,34.225,17.37,0.792775242
modelo_n_0473.hjs,70.013,17.0175,290.25,40.775,15.35,5.979744639
modelo_n_0474.hjs,129.017,38.7425,160.95,23.825,10.93,1.651890535
modelo_n_0475.hjs,130.007,41.6575,22.65,18.225,23.95,0.514647763
modelo_n_0476.hjs,29.027,8.7675,297.45,38.525,22.79,11.025485
modelo_n_0477.hjs,151.589,9.6475,250.35,4.125,16.07,1.578774039
modelo_n_0478.hjs,54.173,31.2075,298.95,21.575,10.37,4.749773877
modelo_n_0479.hjs,149.411,50.2925,7.95,23.875,21.73,0.443886583
modelo_n_0480.hjs,117.731,20.9225,234.75,42.675,16.13,4.129624153
modelo_n_0481.hjs,135.155,18.4475,277.65,17.675,12.03,2.675522393
modelo_n_0482.hjs,107.237,13.2775,88.35,12.325,12.97,1.73540472
modelo_n_0483.hjs,90.209,44.0225,273.75,11.625,22.63,1.288046494
modelo_n_0484.hjs,72.389,47.3225,285.15,25.325,18.19,2.216035909
modelo_n_0485.hjs,57.341,36.1025,292.95,10.575,16.47,2.571174059
modelo_n_0486.hjs,122.681,30.1075,36.75,21.225,21.93,0.926662519
modelo_n_0487.hjs,36.551,18.5025,81.15,27.775,24.11,2.80136003
modelo_n_0488.hjs,113.969,30.9325,289.35,28.275,17.65,2.373609695
modelo_n_0489.hjs,100.505,44.3525,153.45,14.225,18.83,0.979627117
modelo_n_0490.hjs,41.105,8.1625,237.75,10.025,21.51,4.603409534
modelo_n_0491.hjs,57.539,21.5275,15.45,18.625,21.11,1.109162472
modelo_n_0492.hjs,50.015,37.9175,223.95,34.675,25.41,2.607311704
modelo_n_0493.hjs,15.959,33.5725,141.45,21.475,19.11,4.17202607
modelo_n_0494.hjs,190.001,42.2075,286.35,4.675,16.75,0.780222127
modelo_n_0495.hjs,58.331,40.6125,205.35,23.175,12.27,2.779491935
modelo_n_0496.hjs,55.361,40.8325,277.35,17.025,16.31,2.724035186
modelo_n_0497.hjs,37.937,9.8125,214.05,19.225,21.67,5.088358758
modelo_n_0498.hjs,144.065,18.8325,55.35,12.075,11.95,1.07140538
modelo_n_0499.hjs,38.135,16.1375,169.65,17.775,18.03,3.475964251
modelo_n_0500.hjs,138.917,9.1525,183.75,22.175,18.51,3.69417105
modelo_n_0501.hjs,66.449,51.0625,294.15,33.825,11.33,3.961213826
modelo_n_0502.hjs,187.427,54.0325,79.05,36.425,16.67,0.944013995
modelo_n_0503.hjs,191.189,30.3825,41.85,6.275,19.43,0.338427603
modelo_n_0504.hjs,59.519,36.9825,53.85,43.175,21.19,1.934782233
modelo_n_0505.hjs,160.103,15.6425,290.55,29.925,13.41,3.80181834
modelo_n_0506.hjs,68.627,14.1025,241.05,38.675,26.53,5.12181298
modelo_n_0507.hjs,142.877,54.3625,6.75,39.075,14.31,0.696798396
modelo_n_0508.hjs,68.825,23.9475,37.65,48.225,12.95,3.341547643
modelo_n_0509.hjs,68.429,50.0175,197.55,27.125,14.83,2.076801564
modelo_n_0510.hjs,69.815,15.9725,17.55,27.625,10.57,2.319321853
modelo_n_0511.hjs,84.071,42.3175,55.95,46.425,28.51,1.61558294
modelo_n_0512.hjs,8.039,49.2475,296.55,45.725,25.39,15.49403308
modelo_n_0513.hjs,153.173,7.2825,245.25,39.825,23.37,8.02850411
modelo_n_0514.hjs,170.597,29.0075,231.75,45.775,17.79,2.988246568
modelo_n_0515.hjs,60.905,40.9975,38.25,5.775,13.95,0.499239317
modelo_n_0516.hjs,24.473,47.8175,109.65,3.075,24.65,1.632819423
modelo_n_0517.hjs,27.047,21.6375,149.55,18.125,22.81,3.02270679
modelo_n_0518.hjs,164.459,26.4775,35.55,39.025,12.87,2.009586744
modelo_n_0519.hjs,8.435,35.2775,273.45,14.575,23.09,10.38488609
modelo_n_0520.hjs,150.203,20.6475,45.15,37.025,15.39,2.447272467
modelo_n_0521.hjs,182.675,13.3325,249.45,5.675,13.43,1.410596011
modelo_n_0522.hjs,157.925,47.1575,243.75,13.875,22.87,0.840106593
modelo_n_0523.hjs,63.083,18.5575,137.85,34.275,15.47,3.827395975
modelo_n_0524.hjs,196.139,28.1825,295.65,13.525,24.31,1.108783805
modelo_n_0525.hjs,141.491,52.4375,230.85,7.325,19.95,0.830519159
modelo_n_0526.hjs,188.219,38.7975,42.15,43.525,10.27,1.618285275
modelo_n_0527.hjs,39.521,19.3825,277.05,25.025,24.17,4.122147071
modelo_n_0528.hjs,122.483,16.2475,181.65,28.175,11.21,3.504877769
modelo_n_0529.hjs,185.645,57.1125,36.45,31.625,28.77,0.562879983
modelo_n_0530.hjs,165.053,21.3625,163.35,20.725,22.73,1.592707313
modelo_n_0531.hjs,141.689,20.4275,121.05,1.775,19.27,0.444570064
modelo_n_0532.hjs,33.185,33.2975,296.85,35.325,21.87,4.584480558
modelo_n_0533.hjs,10.217,22.2975,118.05,39.875,25.09,6.444783601
modelo_n_0534.hjs,96.743,20.5375,270.45,29.975,28.59,2.816732405
modelo_n_0535.hjs,132.383,50.5125,32.55,9.075,23.51,0.269189733
modelo_n_0536.hjs,103.277,29.5025,203.55,47.075,29.71,2.938515402
modelo_n_0537.hjs,170.003,47.2125,263.55,21.775,28.95,0.946388936
modelo_n_0538.hjs,169.211,55.1325,268.95,0.425,23.89,0.732182645
modelo_n_0539.hjs,39.323,18.8875,161.55,25.575,28.49,3.056581819
modelo_n_0540.hjs,85.061,8.5475,56.25,23.525,24.81,3.506899718
modelo_n_0541.hjs,106.841,8.0525,71.55,0.625,25.19,0.405475246
modelo_n_0542.hjs,139.115,26.3125,196.95,44.075,19.99,3.048049985
modelo_n_0543.hjs,42.887,13.9375,214.65,22.275,14.09,5.141802454
modelo_n_0544.hjs,85.853,28.5675,156.75,19.975,15.43,1.854659195
modelo_n_0545.hjs,88.229,40.4475,38.55,47.575,29.33,1.636299316
modelo_n_0546.hjs,65.261,47.4325,191.55,21.525,26.25,1.35834124
modelo_n_0547.hjs,5.069,21.4175,116.55,24.875,28.91,7.460390528
modelo_n_0548.hjs,19.325,49.5775,214.35,42.375,21.41,5.105056368
modelo_n_0549.hjs,67.439,24.6625,189.45,49.275,15.05,4.878705986
modelo_n_0550.hjs,19.523,24.3325,131.25,13.775,12.31,4.662118527
modelo_n_0551.hjs,173.765,48.5325,196.35,26.475,19.49,1.085426772
modelo_n_0552.hjs,183.863,48.6975,114.45,28.775,28.69,0.824521369
modelo_n_0553.hjs,103.475,31.3725,185.25,24.125,14.33,1.997951221
modelo_n_0554.hjs,195.941,51.0075,238.65,40.475,19.57,1.479243462
modelo_n_0555.hjs,154.757,40.7775,147.75,16.425,22.57,0.809611638
modelo_n_0556.hjs,103.871,49.0825,4.65,45.325,10.99,1.019044037
modelo_n_0557.hjs,93.773,44.6825,82.05,45.925,23.97,1.654327216
modelo_n_0558.hjs,190.793,17.8975,275.55,10.775,22.23,1.324004056
modelo_n_0559.hjs,56.549,8.6575,72.75,49.775,23.13,9.139285774
modelo_n_0560.hjs,131.591,30.9875,50.85,15.425,16.43,0.789193497
modelo_n_0561.hjs,93.377,5.6325,157.65,5.175,15.71,2.701771566
modelo_n_0562.hjs,192.377,14.5425,109.95,23.375,16.25,2.292659045
modelo_n_0563.hjs,126.245,16.4675,70.35,41.875,29.35,3.529961384
modelo_n_0564.hjs,88.823,16.3025,220.35,47.925,22.55,5.572788239
modelo_n_0565.hjs,100.109,58.7625,59.55,5.725,22.99,0.306510463
modelo_n_0566.hjs,137.729,11.4625,210.75,3.725,10.39,1.759857173
modelo_n_0567.hjs,54.965,16.3575,247.35,20.425,20.87,3.465724313
modelo_n_0568.hjs,29.819,22.2425,161.25,5.025,23.07,1.968481695
modelo_n_0569.hjs,4.277,28.5125,6.15,14.125,17.29,1.295170947
modelo_n_0570.hjs,3.089,20.2625,80.25,12.375,22.41,9.023130952
modelo_n_0571.hjs,10.613,32.4175,105.15,20.275,27.33,3.462155513
modelo_n_0572.hjs,13.187,17.5125,26.55,41.425,12.93,4.900283169
modelo_n_0573.hjs,118.919,8.1075,140.55,1.025,23.85,0.731633079
modelo_n_0574.hjs,24.671,16.1925,246.75,29.825,10.43,10.13168181
modelo_n_0575.hjs,123.077,8.2175,72.45,10.625,20.83,1.795330164
modelo_n_0576.hjs,19.127,28.4025,239.55,18.525,26.83,4.276336905
modelo_n_0577.hjs,136.145,57.3875,209.25,36.175,12.33,1.68046538
modelo_n_0578.hjs,62.687,21.1425,43.05,16.625,19.13,1.283948755
modelo_n_0579.hjs,56.351,44.9025,103.95,41.225,27.79,1.741006817
modelo_n_0580.hjs,119.513,46.9375,68.55,20.025,27.93,0.630503053
modelo_n_0581.hjs,71.399,29.2825,260.55,12.025,18.99,1.955728244
modelo_n_0582.hjs,174.161,38.3025,127.05,36.375,13.07,1.695217687
modelo_n_0583.hjs,83.675,18.9975,193.65,17.575,14.43,2.546032066
modelo_n_0584.hjs,7.049,9.0425,240.15,22.725,28.73,16.05727843
modelo_n_0585.hjs,66.251,46.1675,28.05,16.375,19.35,0.565464775
modelo_n_0586.hjs,140.897,43.3625,12.15,4.325,21.59,0.139096565
modelo_n_0587.hjs,9.029,25.4325,60.15,25.075,16.21,4.471797774
modelo_n_0588.hjs,161.687,27.0825,253.35,8.175,27.59,0.834956864
modelo_n_0589.hjs,131.987,41.1625,222.45,25.975,18.23,1.504028239
modelo_n_0590.hjs,109.613,28.1275,9.15,28.025,21.95,1.12078133
modelo_n_0591.hjs,181.685,31.3175,37.95,6.875,10.95,0.421462499
modelo_n_0592.hjs,46.847,58.1025,232.35,42.825,13.11,4.445508765
modelo_n_0593.hjs,108.623,5.1375,226.35,36.225,16.97,10.81424513
modelo_n_0594.hjs,182.279,37.2025,22.95,38.825,10.79,1.334993867
modelo_n_0595.hjs,123.869,14.3775,197.85,3.975,10.51,1.593116407
modelo_n_0596.hjs,52.985,13.8275,137.25,47.625,10.47,7.790812194
modelo_n_0597.hjs,13.979,50.5675,66.75,42.875,13.05,3.876904373
modelo_n_0598.hjs,105.851,28.7325,62.55,36.075,25.99,1.777059153
modelo_n_0599.hjs,30.413,57.4975,93.45,39.625,10.11,3.558823698
modelo_n_0600.hjs,116.345,13.8825,2.85,29.325,14.39,2.362999155
modelo_n_0601.hjs,89.417,16.5775,288.45,1.525,13.71,1.882885674
modelo_n_0602.hjs,89.615,43.3075,126.75,9.575,28.83,0.626804818
modelo_n_0603.hjs,33.383,33.0775,101.25,45.225,28.29,2.932339535
modelo_n_0604.hjs,109.217,59.8075,196.65,9.825,28.09,0.743530277
modelo_n_0605.hjs,165.845,7.4475,262.65,9.275,20.69,2.381672406
modelo_n_0606.hjs,112.583,32.9675,154.95,45.525,25.73,2.421842448
modelo_n_0607.hjs,123.671,33.5175,255.15,16.975,19.69,1.452768111
modelo_n_0608.hjs,193.763,25.9825,60.75,49.075,14.35,2.883331087
modelo_n_0609.hjs,164.657,41.1075,13.65,0.475,22.09,0.041274874
modelo_n_0610.hjs,11.603,25.7625,119.55,30.575,25.23,4.830278575
modelo_n_0611.hjs,170.201,18.9425,73.65,3.175,26.91,0.348219563
modelo_n_0612.hjs,79.121,27.6875,275.25,9.225,29.49,1.325167272
modelo_n_0613.hjs,97.139,18.0075,214.95,5.225,12.81,1.680591161
modelo_n_0614.hjs,173.369,39.6775,89.55,11.375,22.93,0.512190108
modelo_n_0615.hjs,98.723,5.6875,64.95,7.175,23.45,1.809822355
modelo_n_0616.hjs,97.931,7.9975,28.65,46.725,25.07,8.03608553
modelo_n_0617.hjs,80.309,45.7825,58.95,38.175,10.09,1.647370598
modelo_n_0618.hjs,99.515,43.6375,179.55,19.875,15.95,1.39291034
modelo_n_0619.hjs,192.179,38.8525,269.55,15.325,27.75,0.871368472
modelo_n_0620.hjs,96.149,34.1775,98.55,39.375,10.07,2.450507097
modelo_n_0621.hjs,189.209,49.7425,157.05,28.225,14.97,1.08953224
modelo_n_0622.hjs,129.809,35.4425,8.55,32.475,28.87,0.9826532
modelo_n_0623.hjs,45.461,45.6175,184.35,39.425,20.07,2.686818107
modelo_n_0624.hjs,167.825,36.7075,5.85,17.125,15.13,0.481282001
modelo_n_0625.hjs,130.997,58.5425,80.55,30.275,24.29,0.728127952
modelo_n_0626.hjs,114.365,27.6325,188.85,8.375,29.43,0.829821261
modelo_n_0627.hjs,77.339,37.7525,126.45,24.525,27.87,1.274721417
modelo_n_0628.hjs,102.683,6.5125,23.55,28.575,26.95,5.102067572
modelo_n_0629.hjs,31.007,44.2975,211.95,16.275,19.91,3.006723551
modelo_n_0630.hjs,184.853,22.4075,79.35,12.575,17.31,0.89505722
modelo_n_0631.hjs,25.661,35.2225,75.45,49.125,15.83,3.721837921
modelo_n_0632.hjs,90.605,20.4825,24.15,26.125,27.43,1.557765212
modelo_n_0633.hjs,140.303,49.5225,158.85,15.575,17.05,0.850337776
modelo_n_0634.hjs,77.537,5.3025,164.55,16.225,11.87,6.391909735
modelo_n_0635.hjs,61.301,18.3925,256.65,45.075,20.37,5.644633835
modelo_n_0636.hjs,189.605,58.7075,172.65,37.825,10.41,1.41323918
modelo_n_0637.hjs,138.521,6.8425,277.95,30.825,22.19,6.670857054
modelo_n_0638.hjs,53.183,57.9375,115.35,8.475,13.35,1.890690017
modelo_n_0639.hjs,7.841,50.4575,229.65,49.375,17.19,17.75725983
modelo_n_0640.hjs,176.537,12.3425,252.45,28.075,12.53,4.049961944
modelo_n_0641.hjs,150.797,37.4225,121.65,45.975,11.83,2.332677391
modelo_n_0642.hjs,65.063,40.7225,153.15,21.925,16.79,1.716048503
modelo_n_0643.hjs,78.131,25.3225,88.05,1.625,12.11,0.736761744
modelo_n_0644.hjs,161.291,45.2875,262.35,40.525,26.33,1.658296802
modelo_n_0645.hjs,143.075,8.6025,215.85,24.725,21.27,4.26613271
modelo_n_0646.hjs,91.595,33.7375,194.55,44.975,24.13,2.691843665
modelo_n_0647.hjs,123.473,11.3525,151.95,11.675,28.33,1.660754806
modelo_n_0648.hjs,142.679,10.4175,280.65,2.175,12.37,1.816992691
modelo_n_0649.hjs,72.785,43.6925,210.45,24.625,22.77,1.644914589
modelo_n_0650.hjs,49.619,31.8125,125.25,23.275,17.27,2.104826397
modelo_n_0651.hjs,65.657,58.3225,107.25,22.925,19.83,1.046090472
modelo_n_0652.hjs,93.575,21.6925,263.85,40.375,18.69,4.05338869
modelo_n_0653.hjs,80.111,42.2625,26.85,15.925,27.91,0.506047558
modelo_n_0654.hjs,89.813,56.3425,207.45,11.775,22.83,1.089618338
modelo_n_0655.hjs,151.193,52.8225,237.15,32.575,27.99,1.147959947
modelo_n_0656.hjs,145.253,42.8675,217.05,12.825,24.95,0.802995656
modelo_n_0657.hjs,118.721,8.8225,122.55,0.875,22.25,0.631202631
modelo_n_0658.hjs,118.127,46.8275,128.55,46.025,20.17,1.754491946
modelo_n_0659.hjs,21.305,15.0925,173.55,28.375,19.51,6.080940148
modelo_n_0660.hjs,162.281,51.2825,284.55,46.775,20.97,1.888894691
modelo_n_0661.hjs,184.655,10.2525,204.15,30.475,20.45,4.284600612
modelo_n_0662.hjs,26.057,33.0225,24.75,14.525,15.45,1.035112289
modelo_n_0663.hjs,185.447,43.0325,197.25,42.275,29.73,1.556031977
modelo_n_0664.hjs,148.817,44.7925,94.95,5.375,16.53,0.418967461
modelo_n_0665.hjs,166.637,36.4875,287.55,14.875,27.97,0.983550409
modelo_n_0666.hjs,140.699,59.8625,218.25,44.125,19.89,1.491064458
modelo_n_0667.hjs,162.677,5.5775,64.05,4.625,22.67,1.172526445
modelo_n_0668.hjs,136.541,9.8675,172.35,31.475,15.07,4.955683453
modelo_n_0669.hjs,110.603,53.4825,221.55,44.175,21.91,1.772471644
modelo_n_0670.hjs,150.599,35.8825,139.65,25.125,27.41,1.127158055
modelo_n_0671.hjs,79.517,58.3775,251.55,7.925,11.05,3.426096637
modelo_n_0672.hjs,176.141,42.0975,181.35,3.625,11.13,0.794065658
modelo_n_0673.hjs,197.129,44.0775,4.95,18.575,24.89,0.387636404
modelo_n_0674.hjs,168.419,50.0725,168.15,14.775,11.43,0.97036675
modelo_n_0675.hjs,124.463,48.9725,198.15,48.475,23.05,1.919906831
modelo_n_0676.hjs,199.307,44.9575,99.75,41.675,28.21,1.250232997
modelo_n_0677.hjs,179.507,28.2925,10.65,11.875,17.33,0.473585705
modelo_n_0678.hjs,187.031,36.8725,109.05,0.925,12.79,0.355707734
modelo_n_0679.hjs,105.455,18.1725,134.25,48.075,16.03,4.768291473
modelo_n_0680.hjs,121.097,28.2375,271.65,13.375,11.01,2.139398397
modelo_n_0681.hjs,99.119,41.8225,167.55,2.275,26.89,0.529365847
modelo_n_0682.hjs,172.379,6.0175,41.25,28.825,13.27,5.782380992
modelo_n_0683.hjs,94.169,57.4425,84.15,15.475,17.15,0.675864299
modelo_n_0684.hjs,147.629,16.4125,2.55,20.125,28.23,1.282400433
modelo_n_0685.hjs,184.259,21.2525,138.15,35.175,27.17,2.361867785
modelo_n_0686.hjs,69.023,48.4225,246.15,7.275,11.79,2.832494458
modelo_n_0687.hjs,172.973,48.4775,9.75,29.625,27.77,0.577501291
modelo_n_0688.hjs,82.883,29.9975,59.85,22.325,19.03,1.236025698
